OBJECTID *,Shape *,FID_points,FID_points,osm_id,name,barrier,highway,ref,address,is_in,place,man_made,other_tags,lat,lon,FID_points_divided_MinimumBoundi1,FID_DatasetlSVISam_MinimumBoundi
89,点,605,1074,4850025677,余仁生 Eu Yan Sang, , , , , , , ,"addr:street=>""北京道 Peking Road"",""brand""=>""余仁生 Eu Yan Sang"",""brand:en""=>""Eu Yan Sang"",""brand:wikidata""=>""Q4207246"",""brand:zh""=>""余仁生"",""name:en""=>""Eu Yan Sang"",""name:zh""=>""余仁生"",""shop""=>""herbalist""",22.296491,114.171475,1,1
90,点,606,508,2938367967,Sun Ying Guesthouse, , , , , , , ,"addr:door=>""8A1"",""addr:floor""=>""8/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""8"",""tourism""=>""guest_house""",22.296491,114.172441,1,1
91,点,607,2279,10880215921,來一燙冒菜麻辣燙, , , , , , , ,"amenity=>""restaurant"",""name:zh""=>""來一燙冒菜麻辣燙""",22.296495,114.171509,1,1
92,点,609,1024,4849863694,Believe, , , , , , , ,"addr:street=>""北京道 Peking Road"",""shop""=>""clothes""",22.296496,114.171448,1,1
93,点,612,2283,10880215925,泰鮮味 Thai Umami, , , , , , , ,"amenity=>""fast_food"",""name:en""=>""Thai Umami"",""name:zh""=>""泰鮮味""",22.296499,114.171543,1,1
94,点,618,1864,7077374179, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""lowered"",""tactile_paving""=>""yes""",22.296506,114.172128,1,1
95,点,619,487,2938367946,Double Seven Guest House, , , , , , , ,"addr:door=>""7A7"",""addr:floor""=>""7/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""7"",""tourism""=>""guest_house""",22.296507,114.17244,1,1
96,点,620,484,2938367943,Capital Guesthouse, , , , , , , ,"addr:door=>""13A6-7"",""addr:floor""=>""13/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""13"",""tourism""=>""guest_house""",22.296507,114.172548,1,1
97,点,621,2293,10880215975, , ,crossing, , , , , ,"crossing=>""uncontrolled"",""tactile_paving""=>""yes""",22.29651,114.171624,1,1
98,点,627,1437,4969719821,加拿大酒店 Canada Hotel, , , , , , , ,"addr:floor=>""15"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:street:en""=>""Nathan Road"",""addr:street:zh""=>""彌敦道"",""addr:unit""=>""A"",""name:en""=>""Canada Hotel"",""name:zh""=>""加拿大酒店"",""tourism""=>""hostel""",22.296519,114.172596,1,1
99,点,628,1860,7077374175, ,kerb, , , , , , ,"access=>""yes"",""kerb""=>""lowered"",""tactile_paving""=>""yes""",22.296521,114.172151,1,1
100,点,630,514,2938367973,Welcome Guesthouse, , , , , , , ,"addr:door=>""7A5"",""addr:floor""=>""7/F"",""addr:housenumber""=>""36-44"",""addr:street""=>""彌敦道 Nathan Road"",""addr:unit""=>""A"",""level""=>""7"",""tourism""=>""guest_house""",22.296523,114.172438,1,1
