name,lat,lon,alt,rot,date
4142,22.29802769,114.1697756,7.914899826,94.8819809,2023
4144,22.2980225,114.169695,7.822084904,93.72717285,2023
4149,22.29764466,114.172245,8.558988571,314.7986603,2023
4167,22.29804252,114.1720795,9.23276329,183.3211365,2022
4168,22.29814811,114.1721314,9.715327263,81.68216705,2023
4169,22.29803808,114.1721936,9.349340439,4.001464844,2023
4170,22.29794206,114.1715103,9.743281364,3.214126587,2023
4171,22.29807428,114.1710624,9.865450859,158.0700397,2023
4172,22.29810379,114.1709999,9.812819481,93.88725281,2023
4173,22.29806305,114.1697171,14.3914299,18.49627686,2023
4192,22.29815454,114.1720836,9.681725502,82.34529877,2023
4361,22.29813512,114.1721841,9.154922485,3.277694702,2023
4362,22.29813248,114.1720733,9.419773102,183.37146,2022
4416,22.29804909,114.172094,8.553761482,278.4342041,2021
4444,22.29815754,114.1725833,7.903767109,1.398086548,2021
4459,22.2978926,114.1712995,8.960474014,195.79599,2021
